연번,광고물 표시 주소,허가(연장)일자,규격
1,서울특별시 강남구 언주로 703 (논현동),2020-09-08,18.7*8   19*8   19*8   18.7*8 
2,서울특별시 강남구 도산대로 306  옥상층 (논현동),2020-09-09,10*9 15.2*9 15.2*9
3,서울특별시 강남구 강남대로 642 (신사동),2020-09-18,12*9.04 
4,서울특별시 강남구 언주로 708 (논현동),2020-10-25,5.4*6.8 10.8*6.8 10.8*6.8
5,서울특별시 강남구 언주로 651 (논현동),2020-10-27,16*9
6,서울특별시 강남구 논현로 508 (역삼동  옥상),2020-11-04,10.8*6   10.8*6 
7,서울특별시 강남구 영동대로 713 (청담동),2020-12-16,7.8*9.4   7.8*8.3   6.5*9.4   6.5*7.1 
8,서울특별시 강남구 영동대로 714 (청담동),2021-01-15,16*8 
9,서울특별시 강남구 언주로 714 (논현동),2021-01-27,13.4*7.3 11.8*6.3
10,서울특별시 강남구 선릉로 704 (청담동),2021-02-10,18.5*8.5 
11,서울특별시 강남구 봉은사로114길 12 (삼성동),2021-02-25,20*8 20*8 10*8 10*8
12,서울특별시 강남구 영동대로 508(삼성동),2021-03-17,29.03*7.4
13,서울특별시 강남구 압구정로29길 21  5층 (압구정동),2021-03-17,15*5.5   15*5.5   18*5.5   18*5.5
14,서울특별시 강남구 논현로 627 (논현동),2021-04-29,14.6*9.8   14.6*9.8   16.6*9.8   16.6*9.8    
15,서울특별시 강남구 강남대로 292 (도곡동),2021-05-30,29*9.1
16,서울특별시 강남구 선릉로 635 (논현동),2021-07-18,20*8.8   14.4*6.6
17,서울특별시 강남구 도곡로 428 (대치동),2021-07-24,5.4*1.2
18,서울특별시 강남구 테헤란로 119 (역삼동 대호레포츠빌딩),2021-08-21,14.4*7.2  7.2*7.2
19,서울특별시 강남구 논현로 853 (신사동),2021-09-25,좌면3.5*3.4  우면6.8*3.4
20,서울특별시 강남구 영동대로 737 (청담동),2021-10-01,18*12.5
21,서울특별시 강남구 도산대로 301 (신사동),2021-10-10,12.56*7.6
22,서울특별시 강남구 강남대로 578 (논현동),2021-10-27,13*8.1   7*8.1
23,서울특별시 강남구 언주로 858 (신사동),2021-10-30,10.9*6 8*6 8*6
24,서울특별시 강남구 도산대로 171 (신사동),2021-10-30,13*12 12*12
25,서울특별시 강남구 도산대로 549 (청담동),2021-11-03,17*10.5
26,서울특별시 강남구 강남대로 548  옥상층 (논현동),2021-11-16,13*8.1  11.3*8.1  11.3*6.3
27,서울특별시 강남구 언주로 544 (역삼동),2021-11-22,5.5*8  10*8
28,서울특별시 강남구 도산대로 176 (논현동),2021-11-23,15*7.5  18*7.5   18*7.5  15*7.5 
29,서울특별시 강남구 삼성로 431 (대치동),2021-11-28,17*1.74 
30,서울특별시 강남구 도산대로 314 (논현동),2021-12-30,15*5   15*5
31,서울특별시 강남구 강남대로 596  옥상층 (논현동  극동빌딩),2022-02-04,9*5.875  16.2*5.875 9*5.875
32,서울특별시 강남구 테헤란로104길 21  세아아인스 옥상층 (대치동),2022-02-22,20*9.5    12.5*9.5    12.5*9.5    20*9.5  
33,서울특별시 강남구 언주로 652  옥상층 (논현동),2022-02-26,13.5*7.5   13.5*7.5   16.5*7.5 
34,서울특별시 강남구 영동대로 429  옥상층 (대치동),2022-02-26,14.4*8.1   18.2*8.1
35,서울특별시 강남구 영동대로 648  옥상층 (삼성동),2022-02-26,19.5*7   16.8*7   5*7
36,서울특별시 강남구 강남대로 656  무림에스피(주) 13층 (신사동),2022-03-06,14*8
37,서울특별시 강남구 봉은사로 539  5층 (삼성동),2022-03-07,10.1*6.35   11.74*6.35
38,서울특별시 강남구 도산대로 238 (논현동),2022-03-14,8.5*9  14.4*9  12.6*9
39,서울특별시 강남구 도산대로 110 (논현동),2022-03-14,15.56*14.61 6.34*14.61 
40,서울특별시 강남구 봉은사로 613  옥상층 (삼성동  ADT캡스 제1빌딩),2022-03-31,15*7   15*7   7*7   7*4.3 
41,서울특별시 강남구 강남대로 508  옥상층 (논현동  영동월드빌딩),2022-04-15,17*8   17*8
42,서울특별시 강남구 영동대로 626 (삼성동),2022-04-17,13*9.6   14.4*9.6   20*9.6   14.4*9.6 
43,서울특별시 강남구 도산대로 204  동진빌딩 (논현동),2022-05-01,12*7   14*7
44,서울특별시 강남구 도산대로 510 (청담동),2022-05-19,12*7.5   19.6*7.5 
45,서울특별시 강남구 언주로 550  청광빌딩 (역삼동),2022-07-01,13.36*7.59   14.95*7.59   14.95*7.59   13.36*7.59
46,서울특별시 강남구 강남대로 428  만이빌딩 (역삼동),2022-07-01,17*10   14.5*10   14.5*10 
47,서울특별시 강남구 영동대로 308 (대치동),2022-07-21,16*7   8.3*7   20*7   11.4*7   
48,서울특별시 강남구 강남대로 478  제우빌딩 옥상층 (논현동),2022-07-31,12.3*7.3  14*7.3  2.76*7.3
49,"서울시 강남구 강남대로 402, 옥상(역삼동)",2022-08-01,20*9   5*9 
50,서울특별시 강남구 압구정로 165  옥상층 (압구정동),2022-08-17,9*1.05 9.45*1.1 5.58*0.65 
51,서울특별시 강남구 논현로 430 (역삼동),2022-08-17,6.5*3.95   6.5*3.95 
52,서울특별시 강남구 강남대로 626 (신사동),2022-09-13,12.5*7.8
53,서울특별시 강남구 영동대로 225 (대치동),2022-09-19,7*4 
54,서울특별시 강남구 도산대로 539 (청담동),2022-09-23,13.8*6.2  10.8*6.2  10.8*6.2  
55,서울특별시 강남구 도산대로 412  남강빌딩 (청담동),2022-10-01,8.2*8.0    13.6*8.0 
56,서울특별시 강남구 영동대로 720 (청담동),2022-10-28,19*9   13.7*7.2   13.7*9 
57,서울특별시 강남구 도산대로 307 (신사동),2022-11-28,40 * 8.96
58,서울특별시 강남구 도산대로 239 (신사동  학빌딩),2022-12-22,16.9*9.06
59,서울특별시 강남구 도산대로 158 (논현동),2022-12-30,24.8*10  11.5*10  16.6*10
60,서울특별시 강남구 영동대로 416 (대치동),2022-12-30,17.4*2.7   17.4*2.7
61,서울특별시 강남구 강남대로 636  옥상층 (신사동  두원빌딩),2023-01-11,20.4*10
62,서울특별시 강남구 도산대로 336  6층 (논현동),2023-01-18,17.2*8.62
63,서울특별시 강남구 도산대로 170 (논현동),2023-02-08,18.6*10.6    18.6*10.6 
64,서울특별시 강남구 봉은사로114길 20 (삼성동),2023-02-10,25.0*10.0 25.0*10.0 15.0*7 15.0*7
65,서울특별시 강남구 도산대로 435  삼이빌딩 (청담동),2023-02-25,12.6*10.1   15.2*10.28   15.2*7.6   
66,서울특별시 강남구 도산대로 403 (청담동),2023-03-02,27*8 16.6*8 16.6*8   
67,서울특별시 강남구 강남대로 412  옥상층 (역삼동  규정빌딩),2023-03-10,18.56*8   3.34*8
68,서울특별시 강남구 언주로 634  쌍둥이빌딩 6층 (논현동),2023-04-20,11*8
69,서울특별시 강남구 언주로 625 (논현동),2023-05-01,13.4*10
70,서울특별시 강남구 도산대로 524 (청담동),2023-05-10,20*10   18*10   18*10   
71,서울특별시 강남구 테헤란로 626 (대치동),2023-05-26,26.53*10 14*10 14.74*10
72,서울특별시 강남구 봉은사로 641 (삼성동),2023-05-28,17.55*6.7 
73,서울특별시 강남구 영동대로 312 (대치동),2023-06-29,20.1*9
74,서울특별시 강남구 도산대로 127  5층 (신사동  경서빌딩),2023-07-06,9.5*5.8 9.5*5.8
75,서울특별시 강남구 도곡로 454 (대치동),2023-07-31,12.6*10
76,서울특별시 강남구 남부순환로 3008 (대치동),2023-08-24,12.6*5.4
